hz,magnitude
12640,9.83341
12660,1.01713
12680,2.21042
12700,1.37327
12720,1.15901
12740,4.13357
12760,1.00085
12780,3.11346
12800,1.2223
12820,1.27832
12840,2.65078
12860,1.00514
12880,5.45074
12900,1.12172
12920,1.45795
12940,1.98048
12960,1.03043
12980,23.7993
13000,1.0562
13020,1.73727
13040,1.60675
13060,1.07947
13080,9.97241
13100,1.0174
13120,2.20423
13140,1.37512
13160,1.15805
13180,4.15733
13200,1.00091
13220,3.10043
13240,1.22353
13260,1.27687
13280,2.66009
13300,1.00499
13320,5.40945
13340,1.12253
13360,1.45575
13380,1.98532
13400,1.03007
13420,23.0195
13440,1.05672
13460,1.73376
13480,1.60963
13500,1.07885
13520,10.1154
13540,1.01767
13560,2.19808
13580,1.37697
13600,1.15709
13620,4.18137
13640,1.00098
13660,3.08753
13680,1.22476
13700,1.27543
13720,2.66947
13740,1.00485
13760,5.36879
13780,1.12335
13800,1.45356
13820,1.99019
13840,1.02971
13860,22.2892
13880,1.05723
13900,1.73027
13920,1.61253
13940,1.07822
13960,10.2626
13980,1.01795
14000,2.19197
14020,1.37883
14040,1.15613
14060,4.2057
14080,1.00104
14100,3.07473
14120,1.226
14140,1.274
14160,2.67892
14180,1.00471
14200,5.32875
14220,1.12417
14240,1.45138
14260,1.99508
14280,1.02935
14300,21.6038
14320,1.05775
14340,1.7268
14360,1.61545
14380,1.07761
14400,10.4142
14420,1.01823
14440,2.1859
14460,1.3807
14480,1.15518
14500,4.23033
14520,1.00111
14540,3.06205
14560,1.22724
14580,1.27257
14600,2.68844
14620,1.00457
14640,5.28931
14660,1.12499
14680,1.44921
14700,2
14720,1.02899
14740,20.9594
14760,1.05827
14780,1.72334
14800,1.61837
14820,1.07699
14840,10.5703
14860,1.01851
14880,2.17986
14900,1.38258
14920,1.15423
14940,4.25525
14960,1.00117
14980,3.04948
15000,1.22848
15020,1.27114
15040,2.69803
15060,1.00444
15080,5.25046
15100,1.12582
15120,1.44705
15140,2.00495
15160,1.02864
15180,20.3523
15200,1.05879
15220,1.7199
15240,1.62131
15260,1.07638
15280,10.7312
15300,1.01879
15320,2.17387
15340,1.38446
15360,1.15328
15380,4.28048
15400,1.00124
15420,3.03702
15440,1.22973
15460,1.26973
15480,2.7077
15500,1.0043
15520,5.21219
15540,1.12665
15560,1.4449
15580,2.00993
15600,1.02828
15620,19.7795
15640,1.05932
15660,1.71648
15680,1.62427
15700,1.07577
15720,10.8971
15740,1.01907
15760,2.16791
15780,1.38635
15800,1.15234
15820,4.30602
15840,1.00132
15860,3.02466
15880,1.23099
15900,1.26831
15920,2.71745
15940,1.00417
15960,5.17449
15980,1.12749
16000,1.44275
16020,2.01494
16040,1.02793
16060,19.2381
16080,1.05985
16100,1.71308
16120,1.62724
16140,1.07516
16160,11.0682
16180,1.01936
16200,2.16198
16220,1.38825
16240,1.1514
16260,4.33187
16280,1.00139
16300,3.01242
16320,1.23225
16340,1.26691
16360,2.72727
16380,1.00404
16400,5.13733
16420,1.12832
16440,1.44062
16460,2.01997
16480,1.02759
16500,18.7255
16520,1.06038
16540,1.70969
16560,1.63022
16580,1.07456
16600,11.2448
16620,1.01965
16640,2.1561
16660,1.39016
16680,1.15047
16700,4.35805
16720,1.00147
16740,3.00027
16760,1.23352
16780,1.2655
16800,2.73717
16820,1.00391
16840,5.10072
16860,1.12917
16880,1.4385
16900,2.02504
16920,1.02724
16940,18.2396
16960,1.06092
16980,1.70632
17000,1.63322
17020,1.07396
17040,11.4272
17060,1.01994
17080,2.15025
17100,1.39208
17120,1.14954
17140,4.38455
17160,1.00155
17180,2.98823
17200,1.23479
17220,1.26411
17240,2.74714
17260,1.00379
17280,5.06463
17300,1.13001
17320,1.43638
