hz,magnitude
12620,1.42905
12640,4.94233
12660,2.78268
12680,1.23928
12700,1.00184
12720,1.14631
12740,2.13005
12760,12.115
12780,1.64382
12800,1.06281
12820,1.02605
12840,1.43113
12860,4.97665
12880,2.77243
12900,1.23799
12920,1.00175
12940,1.14723
12960,2.13578
12980,11.9102
13000,1.64078
13020,1.06226
13040,1.02639
13060,1.43323
13080,5.01146
13100,2.76226
13120,1.23671
13140,1.00167
13160,1.14815
13180,2.14154
13200,11.7121
13220,1.63774
13240,1.06172
13260,1.02673
13280,1.43533
13300,5.04678
13320,2.75216
13340,1.23543
13360,1.00159
13380,1.14907
13400,2.14734
13420,11.5206
13440,1.63472
13460,1.06118
13480,1.02707
13500,1.43744
13520,5.08261
13540,2.74215
13560,1.23415
13580,1.00151
13600,1.15
13620,2.15317
13640,11.3353
13660,1.63172
13680,1.06065
13700,1.02741
13720,1.43956
13740,5.11896
13760,2.73221
13780,1.23289
13800,1.00143
13820,1.15093
13840,2.15904
13860,11.1558
13880,1.62873
13900,1.06012
13920,1.02776
13940,1.44169
13960,5.15584
13980,2.72235
14000,1.23162
14020,1.00135
14040,1.15187
14060,2.16494
14080,10.982
14100,1.62575
14120,1.05959
14140,1.02811
14160,1.44382
14180,5.19327
14200,2.71257
14220,1.23036
14240,1.00128
14260,1.15281
14280,2.17088
14300,10.8135
14320,1.62279
14340,1.05906
14360,1.02846
14380,1.44597
14400,5.23126
14420,2.70286
14440,1.22911
14460,1.00121
14480,1.15375
14500,2.17686
14520,10.6501
14540,1.61984
14560,1.05853
14580,1.02881
14600,1.44813
14620,5.26982
14640,2.69323
14660,1.22786
14680,1.00114
14700,1.1547
14720,2.18288
14740,10.4916
14760,1.61691
14780,1.05801
14800,1.02917
14820,1.45029
14840,5.30896
14860,2.68367
14880,1.22662
14900,1.00107
14920,1.15565
14940,2.18893
14960,10.3378
14980,1.61399
15000,1.05749
15020,1.02953
15040,1.45247
15060,5.3487
15080,2.67418
15100,1.22538
15120,1.00101
15140,1.15661
15160,2.19502
15180,10.1885
15200,1.61108
15220,1.05697
15240,1.02989
15260,1.45465
15280,5.38905
15300,2.66477
15320,1.22414
15340,1.00094
15360,1.15757
15380,2.20115
15400,10.0434
15420,1.60819
15440,1.05646
15460,1.03025
15480,1.45685
15500,5.43002
15520,2.65543
15540,1.22291
15560,1.00088
15580,1.15853
15600,2.20732
15620,9.90242
15640,1.60531
15660,1.05595
15680,1.03061
15700,1.45905
15720,5.47163
15740,2.64616
15760,1.22169
15780,1.00082
15800,1.1595
15820,2.21353
15840,9.76536
15860,1.60244
15880,1.05544
15900,1.03098
15920,1.46126
15940,5.5139
15960,2.63695
15980,1.22047
16000,1.00077
16020,1.16047
